PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1563708,1983-02-06T18:33:57Z,-41.3,0.1,172.91,0.1,132.0,12.0,ML,,,,3.8,0.2,4,,,
1563709,1983-02-07T03:08:02Z,-38.6,0.1,176.0,0.1,170.0,8.0,ML,,,,3.7,0.2,2,,,
1563710,1983-02-07T03:50:46Z,-38.67,0.0,175.77,0.0,5.0,0.0,ML,,,,3.5,0.1,1,,,
1563711,1983-02-07T06:45:50Z,-37.16,0.1,176.81,0.1,258.0,9.0,ML,,,,4.9,0.3,7,,,
1563712,1983-02-07T07:06:29Z,-36.23,0.1,178.79,0.1,12.0,0.0,ML,,,,3.8,0.3,4,,,
1563713,1983-02-07T09:14:41Z,-39.48,0.0,174.27,0.1,220.0,4.0,ML,,,,4.0,0.4,4,,,
1563714,1983-02-07T18:31:10Z,-38.68,0.0,175.77,0.0,5.0,0.0,ML,,,,2.8,0.1,1,,,
1686738,1983-02-07T19:43:22Z,-40.82,0.0,175.0,0.0,33.0,0.0,ML,,,,2.5,0.1,4,,,
1563715,1983-02-08T04:14:45Z,-38.66,0.0,175.78,0.0,5.0,0.0,ML,,,,2.6,0.1,1,,,
1563716,1983-02-08T06:07:25Z,-38.66,0.0,175.77,0.0,5.0,0.0,ML,,,,2.8,0.1,1,,,
1563717,1983-02-08T07:50:03Z,-38.65,0.0,175.8,0.0,5.0,0.0,ML,,,,2.7,0.1,1,,,
1563718,1983-02-08T08:31:57Z,-38.65,0.0,175.8,0.0,5.0,0.0,ML,,,,2.8,0.1,1,,,
1686739,1983-02-08T09:27:02Z,-42.0,0.0,175.14,0.0,31.0,1.0,ML,,,,2.5,0.1,4,,,
1563719,1983-02-08T15:13:42Z,-38.65,0.0,175.8,0.0,5.0,0.0,ML,,,,2.7,nan,1,,,
1563720,1983-02-08T15:14:38Z,-38.65,0.0,175.8,0.0,5.0,0.0,ML,,,,2.5,nan,1,,,
1563721,1983-02-08T15:55:36Z,-40.73,0.0,174.27,0.0,33.0,0.0,ML,,,,3.7,0.3,7,,,
1563722,1983-02-08T18:25:12Z,-40.74,0.0,174.28,0.0,33.0,0.0,ML,,,,3.9,0.2,7,,,
1563723,1983-02-08T18:25:39Z,-38.64,0.0,175.79,0.0,5.0,0.0,ML,,,,3.7,nan,1,,,
1563724,1983-02-08T18:26:24Z,-38.65,0.0,175.8,0.0,5.0,0.0,ML,,,,3.1,nan,1,,,
1563725,1983-02-08T19:14:00Z,-38.1,0.0,177.52,0.0,33.0,0.0,ML,,,,3.8,0.2,5,,,
1563726,1983-02-09T03:19:48Z,-38.65,0.0,175.8,0.0,5.0,0.0,ML,,,,2.7,0.1,1,,,
1686742,1983-02-09T03:23:35Z,-41.07,0.0,174.52,0.0,62.0,2.0,ML,,,,2.4,0.2,4,,,
1563727,1983-02-09T10:04:48Z,-37.06,0.0,177.23,0.0,12.0,0.0,ML,,,,3.8,0.1,3,,,
1686743,1983-02-09T10:28:19Z,-40.62,0.0,174.43,0.0,53.0,2.0,ML,,,,2.5,0.1,5,,,
1563728,1983-02-09T12:39:20Z,-39.83,0.1,174.41,0.1,154.0,4.0,ML,,,,3.6,0.3,2,,,
1686744,1983-02-09T13:33:40Z,-41.78,0.0,174.75,0.0,44.0,1.0,ML,,,,3.5,nan,1,3.1,0.1,5
1686745,1983-02-09T16:07:33Z,-41.43,0.0,174.97,0.0,25.0,0.0,ML,,,,2.2,0.1,5,,,
