PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,Mjma,Mjma_Uncertainty,Mjma_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,Ms(BB),Ms(BB)_Uncertainty,Ms(BB)_StationCount,mb,mb_Uncertainty,mb_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2016p508106,2016-07-06T23:59:15Z,-36.9,5.3,177.18,4.2,12.0,0.0,M,,,,,,,3.0,0.2,13,2.8,nan,7,,,,,,,,,,2.8,0.2,7
2016p508196,2016-07-07T00:47:18Z,-39.45,3.5,175.71,1.8,18.0,3.0,M,,,,,,,1.5,0.3,12,1.3,nan,8,,,,,,,,,,1.3,0.2,8
2016p508396,2016-07-07T02:33:30Z,-37.78,12.6,177.22,9.1,37.0,10.0,M,,,,,,,2.5,0.2,8,2.3,nan,6,,,,,,,,,,2.3,0.2,6
2016p508511,2016-07-07T03:35:03Z,-41.79,2.5,174.01,2.5,5.0,0.0,M,,,,,,,2.3,0.2,12,2.0,nan,7,,,,,,,,,,2.0,0.4,7
2016p508542,2016-07-07T03:51:29Z,-43.3,3.6,170.36,3.4,5.0,0.0,M,,,,,,,3.0,0.3,13,2.5,nan,2,,,,,,,,,,2.5,0.0,2
2016p508790,2016-07-07T06:03:44Z,-39.42,2.2,176.72,2.7,22.0,5.0,M,,,,,,,2.3,0.3,13,2.0,nan,11,,,,,,,,,,2.0,0.2,11
2016p508926,2016-07-07T07:16:01Z,-39.46,2.2,175.73,1.6,16.0,2.0,M,,,,,,,2.8,0.2,47,2.6,nan,40,,,,,,,,,,2.6,0.2,40
2016p509011,2016-07-07T08:01:20Z,-37.14,7.4,177.05,7.5,133.0,11.0,M,,,,,,,2.7,0.2,8,2.6,nan,7,,,,,,,,,,2.6,0.1,7
2016p509070,2016-07-07T08:33:00Z,-39.5,5.4,174.4,5.0,188.0,7.0,M,,,,,,,,,,2.5,nan,13,,,,,,,,,,2.5,0.2,13
2016p509160,2016-07-07T09:20:50Z,-36.85,6.7,177.71,8.2,126.0,10.0,M,,,,,,,2.9,0.2,10,2.5,nan,6,,,,,,,,,,2.5,0.3,6
2016p509243,2016-07-07T10:04:47Z,-39.56,3.2,177.08,5.0,24.0,5.0,M,,,,,,,2.3,0.3,13,2.1,nan,12,,,,,,,,,,2.1,0.2,12
2016p509492,2016-07-07T12:17:43Z,-44.23,2.7,169.98,3.0,5.0,0.0,ML,,,,,,,2.8,0.2,9,,,,,,,,,,,,,,,
