publicid,cell_id,total_reports_from_counts,mean_mmi,median_mmi,max_mode_count,n_modes,mode_mmi,skewness,reported_mmi,report_count,mean_minus_median,api_median_minus_reconstructed,mode_is_tied
2026p576643,2026p576643_cell_1080,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1081,5,3.4,3,3,1,3,0.4082482904638635,3,5,0.3999999999999999,0,FALSE
2026p576643,2026p576643_cell_1082,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1083,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1084,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1085,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1086,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1087,2,4,4,1,2,NA,0,3,2,0,-1,TRUE
2026p576643,2026p576643_cell_1088,3,3.3333333333333335,3,2,1,3,0.7071067811865465,3,3,0.3333333333333335,0,FALSE
2026p576643,2026p576643_cell_1089,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_109,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1090,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1091,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1092,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1093,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1094,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1095,3,3.6666666666666665,4,2,1,4,-0.7071067811865465,4,3,-0.3333333333333335,0,FALSE
2026p576643,2026p576643_cell_1096,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1097,2,3.5,3.5,1,2,NA,0,3,2,0,-0.5,TRUE
2026p576643,2026p576643_cell_1098,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1099,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_11,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_110,2,3.5,3.5,1,2,NA,0,3,2,0,-0.5,TRUE
2026p576643,2026p576643_cell_1100,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1101,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_1102,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1103,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1104,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1105,2,4,4,2,1,4,NA,4,2,0,0,FALSE
2026p576643,2026p576643_cell_1106,3,4,4,3,1,4,NA,4,3,0,0,FALSE
2026p576643,2026p576643_cell_1107,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_1108,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1109,2,4,4,2,1,4,NA,4,2,0,0,FALSE
2026p576643,2026p576643_cell_111,6,3.3333333333333335,3,4,1,3,0.7071067811865465,3,6,0.3333333333333335,0,FALSE
2026p576643,2026p576643_cell_1110,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1111,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1112,2,3.5,3.5,1,2,NA,0,3,2,0,-0.5,TRUE
2026p576643,2026p576643_cell_1113,4,3.5,3.5,2,2,NA,0,3,4,0,-0.5,TRUE
2026p576643,2026p576643_cell_1114,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1115,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1116,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1117,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_1118,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1119,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_112,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1120,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1121,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1122,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1123,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1124,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1125,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1126,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1127,6,3.5,3.5,3,2,NA,0,3,6,0,-0.5,TRUE
2026p576643,2026p576643_cell_1128,3,3.3333333333333335,3,2,1,3,0.7071067811865465,3,3,0.3333333333333335,0,FALSE
2026p576643,2026p576643_cell_1129,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_113,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1130,36,3.6666666666666665,4,16,2,NA,0.5000000000000007,4,36,-0.3333333333333335,0,TRUE
2026p576643,2026p576643_cell_1131,2,3.5,3.5,1,2,NA,0,3,2,0,-0.5,TRUE
2026p576643,2026p576643_cell_1132,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1133,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1134,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1135,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_1136,4,4.25,4,3,1,4,1.1547005383792515,4,4,0.25,0,FALSE
2026p576643,2026p576643_cell_1137,2,4,4,2,1,4,NA,4,2,0,0,FALSE
2026p576643,2026p576643_cell_1138,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1139,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_114,5,3.2,3,4,1,3,1.4999999999999991,3,5,0.20000000000000018,0,FALSE
2026p576643,2026p576643_cell_1140,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1141,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1142,1,5,5,1,1,5,NA,5,1,0,0,FALSE
